이름,테마,주재료,런치 주재료,디너 주재료,런치가격,디너가격,가격,위치,평점,간략한 소개,코스여부
우래옥,한식,"소고기, 무, 배, 불고기","소고기, 무, 배, 불고기","소고기, 무, 배, 불고기",,,17000,중구,4.2,냉면 전문점,X
부촌육회,한식,"육회, 낙지, 비빔밥",,,,,25000,종로구,4.4,육회 전문점,X
필동면옥,한식,"돼지고기, 메밀",,,,,15000,중구,4.2,냉면 전문점,X
평양면옥,한식,"돼지고기, 메밀",,,,,15000,중구,3.9,냉면 전문점,X
호빈,중식,"새우, 소고기, 해산물, 오리, 닭","새우, 소고기, 해산물, 오리, 닭","새우, 소고기, 해산물, 오리, 닭",192500,192500,192500,중구,3.9,중식 전문점,O
진중 우육면관,중식,"소고기, 양지, 아롱사태, 업진살, 새우",,,,,15000,종로구,4.5,중식 전문점,X
멘텐,일식,"라멘, 계란, 닭, 새우, 돼지고기",,,,,15000,중구 ,4.4,라멘 전문점,X
서울 다이닝,양식,,"밀가루, 트러플, 닭, 소고기","연어, 관자, 버섯, 새우, 문어, 오리",70000,130000,,중구,4.5,양식 파인다이닝,O
하동관,한식,"소고기, 파, 양지, 수육","소고기, 파, 양지, 수육","소고기, 파, 양지, 수육",,,20000,중구,3.6,곰탕 전문점,X
개성만두 궁,한식,"만두, 조랭이떡, 돼지고기, 김치, 떡",,,,,18000,종로구,4.1,만두 전문점,X
이문설농탕,한식,"양지, 도가니, 사골, 소고기",,,,,15000,종로구,3.9,설농탕 전문점,X
더 그린테이블,양식,,"전복, 랍스터, 소고기, 버섯, 무","전복, 랍스터, 소고기, 버섯, 무",170000,270000,220000,종로구,4.8,프렌치 파인다이닝,O
남포면옥,한식,"냉면, 소고기",,,,,15000,중구,3.8,냉면 전문점,X
꽃밥에피다,한식,,"버섯, 김치, 소고기, 나물","버섯, 김치, 소고기, 나물",112000,112000,,종로구,4,한식 파인다이닝,O
무궁화,한식,,"우엉, 민어, 장어, 전복, 한우","우엉, 쭈꾸미, 금태, 해삼, 한우",180000,200000,,중구,4.5,한식 파인다이닝,O
피에르 가니에르,양식,,"치즈, 캐비어, 가리비, 새우, 게","치즈, 캐비어, 가리비, 새우, 게",160000,300000,250000,중구,4.5,프렌치 파인다이닝,O
모모야마,일식,,"전복, 광어, 참치, 우니","전복, 광어, 참치, 우니",180000,250000,,중구,4.5,일식 파인다이닝,O
크리스탈 제이드,중식,,"새우, 소고기, 우유, 해산물","샥스핀, 전복, 소고기, 랍스터, 오리",55000,140000,,중구,3.9,중식 파인다이닝,O
콘티넨탈,양식,,"단호박, 도미, 홍어, 안심","참치, 민어, 연어, 캐비어, 전복, 트러플",200000,300000,,중구,4.5,프렌치 레스토랑,O
라연,한식,,"소고기, 갈치, 우엉, 새우, 문어","소고기, 갈치, 우엉, 새우, 문어",195000,300000,250000,중구,4.5,한식당,O
미진,한식,"콩, 메밀",,,,,12000,종로구,4.1,국수 전문점,X
스시조,일식,,"생선, 소고기, 회, 토마토, 두유","대게, 전복, 회, 소고기, 치즈",300000,330000,,중구,4.5,스시 파인다이님,O
홍연,중식,,"전복, 해삼, 오징어, 가재, 삼겹살, 안심",,170000,180000,,중구,4.6,중식 전문점,O
나인스 게이트,양식,,"대하, 소고기, 랍스터, 가리비, 게","대하, 소고기, 랍스터, 가리비, 게",110000,200000,160000,중구,4.5,양식 전문점,O
안암,한식,"돼지고기, 고수",,,,,12000,종로구,4.3,돼지국밥 전문점,X
역전회관,한식,"소고기, 산낙지, 돼지고기",,,,,45000,마포구,3.9,불고기 전문점,X
유림면,한식,메밀,,,,,10000,중구,3.9,메밀국수 전문점 ,X
에빠뉘,양식,,"생선, 랍스터, 소고기, 관자, 새우","생선, 랍스터, 소고기, 관자, 새우",85000,180000,140000,강남구,4.6,프렌츠 레스토랑,O
베이스 이즈 나이스 ,한식,"홍고추, 두부, 청무, 옥수수",,,,,30000,마포구,4.7,베지테리안,X
도림,중식,,"해산물, 버섯, 소고기, 게, 가재","소고기, 버섯, 전복, 새우, 망고",210000,180000,,중구,4.6,중식 파인다이닝,O
명동교자,한식,"밀가루, 양파, 닭, 돼지고기",,,,,10000,중구,4.2,칼국수 전문점,X
도우룸,양식,"랍스터, 소고기, 새우, 파스타",,,,,60000,서초구,4.2,이탈리안 음식점,X
현우동,일식,"새우, 명란,계란",,,,,16000,강남구,4.3,우동 전문점,X
금돼지식당,한식,"돼지고기, 김치",,,,,30000,중구,4.2,돼지고기 구이 전문점,X
라망 시크레,양식,,"가리비, 캐비어, 푸아그라, 광어, 대구, 랍스터, 양갈비","가리비, 캐비어, 푸아그라, 광어, 대구, 랍스터, 메추리, 한우 채끝",150000,300000,,중구,4.7,양식 파인다이닝,O
팔레드 신,중식,,"딤섬, 새우, 버섯, 소고기, 해산물","딤섬, 새우, 버섯, 소고기, 해산물",100000,200000,150000,중구,4.3,중식 전문점,O
광화문 국밥,한식,"돼지고기, 돼지 내장",,,,,10000,중구,4.2,국밥 전문점,X
유 유안,중식,,"버섯, 돼지고기, 새우, 전복, 대게","버섯, 오리, 조개, 소고기, 전북",160000,218000,,종로구 ,4.4,중식 파인다이닝,O
황생가 칼국수,한식,"밀가루, 돼지고기, 두부",,,,,10000,종로구,4.2,칼국수 전문점,X
만족오향족발,한식,돼지고기,,,,,30000,중구,4.2,족발 전문점,X
기가스,양식,,"조개, 고등어, 당근","조개, 고등어, 당근",220000,220000,,종로구,4.3,양식 파인다이닝,O
할매집,한식,"돼지고기, 감자",,,,,35000,종로구,4,"족발, 감자탕 전문점",X
레스토랑 주은,한식,,"굴, 된장, 채끝","메밀, 농어, 전복, 닭, 된장, 장어, 산딸기",150000,250000,,종로구,5,한식 파인다이닝,O
온지음,한식,,"전복, 소고기, 게, 귤","전복, 소고기, 게, 귤",170000,250000,210000,종로구,4.7,한식당,O
호라파,아시안식,"닭, 오징어",,,,,20000,종로구,4.4,태국 음식점,X
용금옥,한식,"미꾸라지, 버섯, 밀가루, 두부",,,,,20000,종로구,4,추어탕 전문점,X
물랑,양식,,"게살, 고등어, 전복, 옥돔, 양갈비, 바나나","캐비어, 새조개, 옥돔, 랍스터, 전복, 표고버섯, 한우",110000,180000,,종로구,4.7,프렌치 파인다이닝,O
에그 앤 플라워,양식,,"샐러드, 스테이크, 파스타, 소고기","샐러드, 스테이크, 파스타, 소고기",110000,150000,,용산구,4.1,이탈리아 음식점,O
꼼 모아,양식,"달팽이, 소고기, 오리 우유, 돼지고기",,,,,40000,용산구,4.3,프렌치식 전문점,X
숙수도가,양식,돼지고기,,,,,60000,성북구,4.5,돼지고기 전문점,X
테판,퓨전식,,"닭, 관자, 성게, 낙지, 소고기","닭, 관자, 성게, 낙지, 소고기",240000,360000,300000,용산구,4.6,철판구이 전문점,O
대성집,한식,도가니,,,,,13000,종로구,4.3,곰탕 전문점,X
구복만두,중식,"김치, 돼지고기, 새우, 밀가루, 계란",,,,,8000,용산구,4.1,딤섬 전문점,X
안씨 막걸리,한식,"막걸리, 한치, 굴",,,,,30000,용산구,4.6,한국풍 술집,X
보르고 한남,양식,"랍스터, 새우, 소고기, 파스타",,,,,50000,용산구,4.3,이탈리아 음식점,X
주052,한식,"전복, 소고기, 장어",,,,,32000,성동구,4.6,한식 다이닝,X
교양식사,일식,"양고기, 카레",,,,,40000,용산구,4.3,삿포로식 양고기 전문점,X
구찌 오스테리아 다 마시모 보투라,양식,,"호박, 떡갈비, 트러플, 광어, 소고기","로메인, 소고기, 자몽",140000,170000,,용산구,4.4,이탈리안 파인다이닝,O
셰누 프라이빗 키친,양식,"가리비, 새우, 소고기, 양고기, 파스타",,"가리비, 새우, 소고기, 양고기, 파스타",,99000,40000,용산구,4.7,프렌치 음식점,O
쥬에,중식,,"돼지고기, 새우, 오리, 전복","돼지고기, 새우, 오리, 전복",128000,198000,,용산구,4.4,중식 파인다이닝,O
RMW Carne,양식,"안창살, 돼지고기, 양파",,,,,20000,용산구,"3,6",스테이크 전문점,X
소설한남,한식,,"새우, 청국장, 소고기, 닭, 게","새우, 청국장, 소고기, 닭, 게",140000,220000,180000,용산구,4.5,한식 레스토랑,O
텅 앤 그루브 조인트,한식,"소고기, 돼지고기",,,,,69000,용산구,4.4,한식 고기구이 레스토랑,X
에스콘디도,멕시칸식,,,"우니, 생선, 소고기, 돼지고기, 새우",,150000,,용산구,5,멕시칸 파인다이닝,O
오스테리아 오르조,양식,"소고기, 홍게, 성게알",,,,,50000,용산구,4.4,와인바,X
마나오,아시안식,"닭, 돼지고기, 새우, 향신료",,,,,50000,용산구,4.8,태국 음식점,X
알레즈,양식,,"광어, 전복, 새우, 돼지고기","광어, 전복, 새우, 돼지고기",75000,140000,,용산구,4.3,프렌치 파인다이닝,O
자하 손만두,한식,"소고기, 돼지고기, 쌀, 두부",,,,,30000,종로구,3.8,손만두 전문점,X
알트에이,중식,"식물성 대체육, 간장, 가지, 새우, 두부",,,,,25000,강남구,4.9,비건 중식 레스토랑,X
황금콩밭,한식,"두부, 소고기, 돼지고기, ",,,,,50000,마포구,4.3,두부 요리 전문점,X
디 템포레,양식,,"버섯, 참치, 오리,","버섯, 참치, 오리",65000,105000,,용산구,4.5,서양음식전문점,O
본 앤 브레드,한식,,"소고기, 육회, 고수, 된장 ","소고기, 육회, 고수, 된장 ",165000,165000,,성동구,4.5,한우 오마카세,O
진미식당,한식,"꽃게, 게",,,,,38000,마포구,4.3,간장게장 전문점,X
,,,,,,,,,,,
오부이용,양식,"소고기, 닭, 양고기, 돼지고기",,"소고기, 닭, 양고기, 돼지고기",,70000,45000,성동구,4.6,프렌치 음식점,O
마포 양지 설렁탕,한식,"소고기, 내장",,,,,12000,마포구,4.1,설렁탕 전문점,X
야키토리 키유,일식,,"닭, 똥집, 버섯","닭, 똥집, 버섯",59000,59000,,마포구,5,닭요리 오마카세,O
제로 컴플렉스,양식,,"오징어, 전복, 소","오징어, 전복, 소",190000,270000,,용산구,4.4,프렌치 파인다이닝,O
계월곰탕,한식,"닭, 미나리, 오이, 고사리",,,,,20000,성동구,4.1,닭곰탕 전문점,X
카덴,일식,"회, 튀김, 계란, 해산물",,,,,30000,서대문구,4.2,이자카야,X
르오뇽,양식,,"양파, 토마토, 치즈, 버섯, 오렌지","양파, 토마토, 치즈, 버섯, 오렌지",58000,78000,,강남구,4.5,프렌치 음식점,O
하네,일식,,"장어, 전갱이, 가리비, 황복, 해산물","장어, 전갱이, 가리비, 황복, 해산물",180000,360000,,강남구,4.3,스시 오마카세,O
정육면체,중식,"소고기, 닭, 땅콩, ",,,,,17000,서대문구,4.2,중국 국수류 전문점,X
이스트,양식,,"도미, 단새우, 광어, 전복, 트러플, 매생이, 닭",,90000,,,강남구,4.4,이탈리안 레스토랑,O
삼원가든,한식,"소고기, 육회, 냉면, 비빔밥, 갈비탕",,,,,70000,강남구,4.1,한식 고기구이 레스토랑,X
